component_id,display_name,zone,typical_in_home,work_type_default,repair_low,repair_high,replace_low,replace_high,repairable,creditable,recoup_pct,recoup_source,safety_eligible,lender_eligible,essential_when_needed,floor_trigger,notes
OUT-01,Exterior outlets / GFCI,Exterior,common,minor,100,300,200,500,False,False,60,estimate,True,False,False,"missing covers, shock hazard",GFCI/cover plates are safety items. Replace when missing or exposed.
GAR-01,Garage door / opener,Exterior,common,minor,150,400,800,1500,True,True,97.8,CvV-2024-SA,False,True,False,"non-functional, damaged door",CvV garage door replacement 94%. Lender-eligible if non-functional (FHA/VA).
FIRE-01,Fireplace / chimney / flue,Interior,sometimes,major,200,800,2000,8000,True,True,70,estimate,False,False,False,none,Inspect-first item. Scope unclear without chimney sweep. Non-functional → inspect action.
HVAC-01,HVAC system (furnace + AC),Systems,always,major,200,1500,6000,12000,True,True,50,estimate,False,True,False,non-functional,Lender-eligible if not operating. Age noted via questionnaire.
WH-HTR-01,Water heater,Systems,always,minor,150,500,1200,2500,True,True,55,estimate,False,True,False,"non-functional, leaking, or beyond typical service life (12+ years)","Lender-eligible if failed, leaking, or beyond typical 12-yr service life (FHA/VA)."
ELEC-01,Electrical panel / wiring,Systems,always,major,500,2000,3000,8000,True,True,55,estimate,True,True,False,"open junction boxes, exposed wiring, missing covers, unsafe panel",Partial detection only without inspection. Confidence capped at 0.60 blind.
PLMB-01,Plumbing supply / drain,Systems,always,major,500,2000,3000,8000,True,True,50,estimate,False,True,False,active leak or non-functional supply,Lender-eligible if active leak or supply non-functional.
DET-01,Smoke / CO detectors,Systems,always,minor,0,0,150,400,False,False,70,estimate,True,False,False,missing or beyond service life,Safety item. Replace full set if any missing or old.
DUCT-01,Duct system (clean / inspect),Systems,common,clean,300,600,300,600,False,False,90,estimate,False,False,True,heavy contamination; smoke residue,Essential when REM-01 triggered. Chained to Q-SMOKE-1.
REM-01,Smoke / odor remediation,Interior,sometimes,major,1500,4000,1500,4000,True,False,100,estimate,False,False,True,heavy cigarette/smoke odor or staining,Essential remediation. Also triggers DUCT-01 when Q-SMOKE-1=yes.
VENT-01,Bathroom / exhaust fans,Interior,always,minor,100,200,150,300,False,True,40,estimate,False,False,False,none (discretionary),Replace dated fans; helps humidity perception.
IHW-01,Interior hardware (handles / knobs),Interior,always,minor,100,200,200,500,True,True,85,estimate,False,False,False,none (discretionary),Dated brass is a quick inexpensive swap.
FLR-01,Flooring (carpet / LVP / hardwood),Interior,always,major,1000,4000,4000,12000,True,True,80,estimate,False,False,False,none (discretionary),LVP over worn carpet is good value. Hardwood refinish is high-value.
IDR-01,Interior doors,Interior,always,minor,100,300,200,600,True,True,55,estimate,False,False,False,none (discretionary),Hollow-core rehang or replace. Low cost.
ILT-01,Interior lighting / fixtures,Interior,always,minor,50,200,100,400,True,True,65,estimate,False,False,False,none (discretionary),Dated fixtures are cosmetic; often worth updating.
PNT-01,Interior paint,Interior,always,clean,300,800,300,800,False,False,107,NAR-2023,False,False,False,none (discretionary),High-ROI presentation item. Not creditable; service only.
KIT-01,Kitchen (cabinets / counters),Interior,always,major,2000,8000,15000,50000,True,True,102.2,CvV-anchored,False,False,False,none (discretionary),CvV minor kitchen remodel 102.2%. Repaint cabinets before replacing.
VAN-01,Vanity / bathroom fixtures,Interior,common,minor,300,800,800,2500,True,True,67,estimate,False,False,False,none (discretionary),Refinish vs replace. Dated brass/tile noted via Q-VAN-1.
BTHP-01,Primary bathroom renovation,Interior,always,major,3000,8000,10000,30000,True,True,66.7,CvV-2024-SA,False,False,False,none (discretionary),Mid-range bath remodel CvV ~70%. Focus on tub/shower and vanity.
BTHS-01,Secondary bathroom(s),Interior,common,major,2000,6000,8000,20000,True,True,65,estimate,False,False,False,none (discretionary),Lower ROI than primary. Refresh paint and fixtures first.
WSHR-01,Washer / dryer hookups,Interior,common,minor,100,300,200,500,True,True,50,estimate,False,False,False,none (discretionary),Confirm hookups are functional. Functional gap can concern buyers.
ATTIC-01,Attic access / insulation,Interior,common,minor,500,2000,1500,5000,True,False,55,estimate,False,False,False,none (moisture damage only),Attic insulation sometimes lender-flagged in older homes.
